iter	Logloss
184	0.3854785448
185	0.3851875991
186	0.3849786908
187	0.3846112798
188	0.3843034037
189	0.3839785115
190	0.3836608201
191	0.3833429144
192	0.3830142932
193	0.3827000307
194	0.3824585475
195	0.3821215683
196	0.3816937222
197	0.3814533105
198	0.3811451773
199	0.3807796521
200	0.3804058118
201	0.3801267817
202	0.3797945173
203	0.3797451405
204	0.3791131009
205	0.3786589805
206	0.3785969595
207	0.3783769929
208	0.3781833434
209	0.377906285
210	0.3776419993
211	0.3773628406
212	0.377163362
213	0.3769214073
214	0.3767945365
215	0.3765610256
216	0.37627128
217	0.3760745016
218	0.3757646968
219	0.3753387794
220	0.3750329178
221	0.3748660141
222	0.3745127046
223	0.374274436
224	0.3741220196
225	0.3739187691
226	0.3737478363
227	0.3736240944
228	0.3734650344
229	0.3731460571
230	0.3729183326
231	0.3724908293
232	0.3721782813
233	0.3718455454
234	0.3716274647
235	0.3715748305
236	0.371248781
237	0.3709904531
238	0.3706219277
239	0.3703548131
240	0.3701782655
241	0.3697815799
242	0.3697088006
243	0.3695942739
244	0.3693623918
245	0.369117994
246	0.3687652416
247	0.3685094855
248	0.368306535
249	0.3680030737
250	0.3678930475
251	0.3674812746
252	0.3672919113
253	0.3670940613
254	0.3667677976
255	0.366570162
256	0.3662384548
257	0.3660657218
258	0.3659383367
259	0.3658391974
260	0.3654714006
261	0.3651898845
262	0.3650674713
263	0.3649541448
264	0.3647523516
265	0.3645403573
266	0.3645052963
267	0.36422138
268	0.3640815649
269	0.3638820434
270	0.3636947803
271	0.363398134
272	0.3632908939
273	0.3631413921
274	0.3628885505
275	0.3626429097
276	0.3624238432
277	0.3622532534
278	0.3620889642
279	0.3617901748
280	0.3614619394
281	0.3613534563
282	0.3611325039
283	0.3610426656
284	0.3609639714
285	0.3608210703
286	0.3607788086
287	0.3605536557
288	0.360375908
289	0.3602024893
290	0.360019641
291	0.359845065
292	0.3596759753
293	0.3595916234
294	0.3593929162
295	0.3591592767
296	0.3589955662
297	0.3587390171
298	0.3585865364
299	0.3583220364
300	0.3582011019
301	0.3579814568
302	0.357717214
303	0.35746853
304	0.3574420843
305	0.3573458382
306	0.3571192924
307	0.3569599752
308	0.3567966933
309	0.3565338006
310	0.3563522382
311	0.3562002503
312	0.3561381222
313	0.3560488197
314	0.3558207308
315	0.3556829731
316	0.3553279062
317	0.355120841
318	0.3549274059
319	0.3546644061
320	0.3545324561
321	0.3544455968
322	0.3544329954
323	0.3543101321
324	0.3541458001
325	0.353960873
326	0.3537887616
327	0.3536645696
328	0.3534343591
329	0.3532967728
330	0.3532215504
331	0.3529674659
332	0.3528972369
333	0.3526940506
334	0.3525799098
335	0.3524346512
336	0.352218928
337	0.3520949717
338	0.3519312612
339	0.351617706
340	0.3514098478
341	0.3512073045
342	0.3509468336
343	0.350777701
344	0.3505630065
345	0.3504299635
346	0.3503112579
347	0.3501020067
348	0.3499477258
349	0.3498798113
350	0.3497298166
351	0.3496951414
352	0.3495487685
353	0.3494226691
354	0.3492172756
355	0.3490841255
356	0.3490117534
357	0.3488433495
358	0.3486878041
359	0.3485273726
360	0.3482510856
361	0.3481191999
362	0.3480235968
363	0.3479102917
364	0.3476835101
365	0.3476125739
366	0.3474313114
367	0.3473705335
368	0.3471612823
369	0.3470320541
370	0.3468905674
371	0.3468336041
372	0.3467529811
373	0.3465192773
374	0.3463810053
375	0.3462350824
376	0.3460893952
377	0.3459174124
378	0.3456839658
379	0.3455708322
380	0.345556452
381	0.3454354104
382	0.3453041462
383	0.3451160688
384	0.3449184118
385	0.3448057068
386	0.3446172221
387	0.3445624019
388	0.3443668023
389	0.3442931872
390	0.3442299232
391	0.3440850933
392	0.3439926833
393	0.3439119532
394	0.3435964263
395	0.3433936687
396	0.3431289544
397	0.3430570538
398	0.3429327118
399	0.3428796918
400	0.3427901322
401	0.3426823562
402	0.3426100056
403	0.3424860494
404	0.342341048
405	0.3420873492
406	0.3419552921
407	0.3418354935
408	0.3417459338
409	0.3416911993
410	0.3416399152
411	0.3415737581
412	0.3414438441
413	0.3413340108
414	0.3411864377
415	0.340965421
416	0.3409420185
417	0.3408298707
418	0.3407549054
419	0.3404825618
420	0.3404525585
421	0.3403630203
422	0.3402655098
423	0.3402053533
424	0.340120037
425	0.3397633199
426	0.339630427
427	0.3395457536
428	0.3393448819
429	0.3391233294
430	0.3389579473
431	0.3388098385
432	0.3387270295
433	0.3386679874
434	0.3385893575
435	0.3384012801
436	0.3382469134
437	0.3382010513
438	0.3380659296
439	0.3379538461
440	0.3376939324
441	0.3375341008
442	0.3374517205
443	0.3373990005
444	0.3372303609
445	0.3371954071
446	0.3370688363
447	0.3369736832
448	0.3368679432
449	0.3368208382
450	0.3365603243
451	0.3363629459
452	0.3362851518
453	0.336081687
454	0.3359083969
455	0.3357354068
456	0.3355454648
457	0.3354427681
458	0.335167917
459	0.3350263017
460	0.3349520865
461	0.3348092283
462	0.3347526293
463	0.3345920691
464	0.3344470892
465	0.3343803749
466	0.3342330161
467	0.3341544505
468	0.3340199074
469	0.3339783529
470	0.3339172749
471	0.333905145
472	0.3338173427
473	0.3336563539
474	0.3334939292
475	0.3333810313
476	0.3331519138
477	0.3331335904
478	0.3329194101
479	0.332790289
480	0.3326841204
481	0.3324850704
482	0.3322768479
483	0.3320991645
484	0.3320126909
485	0.3319367184
486	0.3318152696
487	0.331778387
488	0.3317430689
489	0.331605204
490	0.3313905523
491	0.3312625885
492	0.3311432828
493	0.3310439292
494	0.3308723964
495	0.3305886301
496	0.3304979346
497	0.3303936948
498	0.3303288235
499	0.3301608911
500	0.3300276124
501	0.3298723457
502	0.3297622766
503	0.3297144429
504	0.3296435495
505	0.3296135034
506	0.3294442852
507	0.3292603225
508	0.3291602617
509	0.3290183892
510	0.328956904
511	0.3288938972
512	0.3288364625
513	0.3287759417
514	0.3286604506
515	0.3285950221
516	0.328465151
517	0.3283467668
518	0.3280899605
519	0.3280487703
520	0.3278233603
521	0.3277411943
522	0.3275610677
523	0.3274971608
524	0.327360989
525	0.3272643571
526	0.3271189915
527	0.3270517414
528	0.3269878988
529	0.3268249812
530	0.3267379075
531	0.3266592562
532	0.3265900773
533	0.3264244808
534	0.3262971171
535	0.3260950667
536	0.3260193728
537	0.3258447111
538	0.325768953
539	0.3256377745
540	0.3254780501
541	0.3252798359
542	0.3251382635
543	0.324995148
544	0.3249381848
545	0.3249223259
546	0.3248304088
547	0.3247528719
548	0.3247311839
549	0.3245999626
550	0.3243557362
551	0.3243130245
552	0.324184482
553	0.3240804779
554	0.3238275078
555	0.323717353
556	0.323584803
557	0.3234120058
558	0.3233443271
559	0.323262954
560	0.3231328043
561	0.3229793163
562	0.3228556815
563	0.3227389261
564	0.3226053688
565	0.3225169235
566	0.3224033827
567	0.3223640785
568	0.3223093226
569	0.3221118584
570	0.3220261563
571	0.3218756901
572	0.3217468047
573	0.3217271526
574	0.3215356677
575	0.321469682
576	0.3213960026
577	0.3213286239
578	0.3212925129
579	0.3210312275
580	0.3208977774
581	0.3208774181
582	0.3208018099
583	0.3206810469
584	0.320631713
585	0.3204402495
586	0.3203181149
587	0.320212032
588	0.3201463678
589	0.3199919368
590	0.3199600477
591	0.3197987589
592	0.3197656696
593	0.3196683305
594	0.3195706914
595	0.3194062094
596	0.3192927114
597	0.3191805636
598	0.3191101417
599	0.3189819422
600	0.3187092342
601	0.3185944289
602	0.3185733409
603	0.3184372977
604	0.3183996436
605	0.3183358653
606	0.3182500346
607	0.3181691545
608	0.3179346578
609	0.3178554278
610	0.3177182487
611	0.3176342611
612	0.317554131
613	0.3174362183
614	0.3173403794
615	0.3172277815
616	0.3171431509
617	0.3170434116
618	0.3169474655
619	0.3166705142
620	0.3165839763
621	0.3165455936
622	0.3164533979
623	0.31630066
624	0.316166267
625	0.316144236
626	0.3160763215
627	0.3159502437
628	0.3157291412
629	0.3155289554
630	0.3154664843
631	0.3153232403
632	0.3152542114
633	0.3151377131
634	0.3151116532
635	0.3149402061
636	0.3147621155
637	0.314638245
638	0.3145643513
639	0.3144914863
640	0.314370659
641	0.3142927148
642	0.314134062
643	0.3139770594
644	0.3139479991
645	0.3138239357
646	0.3137448772
647	0.3137015225
648	0.3134607251
649	0.3134482737
650	0.3133397906
651	0.313244466
652	0.3130881492
653	0.3129386902
654	0.3129331824
655	0.3129205597
656	0.312809762
657	0.3126810052
658	0.3125374612
659	0.312395803
660	0.3123644068
661	0.3120845409
662	0.3120601525
663	0.3119513051
664	0.3117896305
665	0.3117128436
666	0.3116974134
667	0.3116369569
668	0.3114663242
669	0.3113742357
670	0.311319094
671	0.3111731711
672	0.3110440715
673	0.3109697706
674	0.3109232013
675	0.3107931159
676	0.3107457107
677	0.3107118928
678	0.310560355
679	0.31047371
680	0.3103143928
681	0.310230298
682	0.3101091706
683	0.3100059381
684	0.3098586222
685	0.3097821996
686	0.309726115
687	0.3097195572
688	0.3095412308
689	0.3094157958
690	0.3093536248
691	0.3092021299
692	0.3090523495
693	0.3089633684
694	0.3089145275
695	0.3088044156
696	0.3085592463
697	0.3085137057
698	0.3083769552
699	0.3083236566
700	0.3081708758
701	0.3080948176
702	0.3080321751
703	0.3078863165
704	0.3077515591
705	0.3076325749
706	0.3074554486
707	0.3074126083
708	0.3073056682
709	0.30712387
710	0.3070568128
711	0.3070099648
712	0.3069046535
713	0.3067186977
714	0.3066100646
715	0.3064993098
716	0.3064908231
717	0.3063250124
718	0.3061833328
719	0.3061566085
720	0.3061338703
721	0.3060894227
722	0.3059835327
723	0.3057659449
724	0.3057337986
725	0.3056179861
726	0.3055229187
727	0.3054039344
728	0.3052510465
729	0.30507122
730	0.3050394808
731	0.3049816174
732	0.3048209287
733	0.3046960295
734	0.3045810528
735	0.3045465276
736	0.3043308687
737	0.3042703693
738	0.3041438199
739	0.3039972327
740	0.3039322328
741	0.3037023651
742	0.30365466
743	0.3035862098
744	0.3035048796
745	0.3034042616
746	0.3032233635
747	0.3030975428
748	0.30307234
749	0.3029593136
750	0.3029068508
751	0.3028029967
752	0.3026423079
753	0.3025586418
754	0.3025000069
755	0.302318573
756	0.3022334495
757	0.3021070502
758	0.3019842726
759	0.301825727
760	0.3017601699
761	0.3016594662
762	0.3016223265
763	0.3014563871
764	0.3013475397
765	0.3012099963
766	0.3010594657
767	0.3009343308
768	0.3008045668
769	0.3006731098
770	0.3005882006
771	0.3004129388
772	0.3003949369
773	0.3003080775
774	0.3001772634
775	0.3000115384
776	0.2998837246
777	0.2998406271
778	0.2997645046
779	0.2995568822
780	0.2994853673
781	0.2992754304
782	0.2990939108
783	0.2989735978
784	0.2989453734
785	0.2988148379
786	0.2986283892
787	0.2985116337
788	0.2984228884
789	0.2983060044
790	0.298232025
791	0.2981897418
792	0.2980277458
793	0.2979514304
794	0.2978157301
795	0.2977490157
796	0.2977236201
797	0.2975958706
798	0.2974304028
799	0.2971665029
800	0.2970237518
801	0.296945079
802	0.2968503116
803	0.296823373
804	0.2967751964
805	0.2966593839
806	0.2964274803
807	0.2964121786
808	0.2962648842
809	0.2960896224
810	0.2959918547
811	0.2958850218
812	0.2958070991
813	0.2954711914
814	0.2953949189
815	0.2953030661
816	0.2952376376
817	0.2950444811
818	0.2948924504
819	0.2947735947
820	0.2946718409
821	0.2946417948
822	0.2945751233
823	0.2945004581
824	0.2943186599
825	0.2940471521
826	0.2939793019
827	0.2938694686
828	0.2937407547
829	0.2936738689
830	0.293659896
831	0.2935429691
832	0.2934087475
833	0.2932772261
834	0.2931835303
835	0.2930693037
836	0.2929489907
837	0.2929065576
838	0.2928249488
839	0.2927120723
840	0.292526738
841	0.2925057572
842	0.2923342244
843	0.2922503439
844	0.2921922448
845	0.2921334599
846	0.2920385639
847	0.2919968594
848	0.2918905408
849	0.2916818683
850	0.2915532616
851	0.2914048527
852	0.2912784105
853	0.2912316697
854	0.2911919797
855	0.2908963193
856	0.290809417
857	0.290676717
858	0.2906190894
859	0.2905301083
860	0.2903932936
861	0.2903234503
862	0.2902704089
863	0.2901429594
864	0.2900670941
865	0.2898691585
866	0.2897895856
867	0.2897456308
868	0.2896100805
869	0.2895196636
870	0.2894668793
871	0.289356896
872	0.2890624786
873	0.2889991503
874	0.2889363793
875	0.2888779801
876	0.288819088
877	0.2888001431
878	0.2887689612
879	0.2887207203
880	0.2885279923
881	0.288264071
882	0.2881679321
883	0.2881342427
884	0.2879837979
885	0.2879406147
886	0.2877318564
887	0.2876644349
888	0.2875544087
889	0.2874873301
890	0.2874166296
891	0.2873020815
892	0.287218201
893	0.2871552371
894	0.2870507401
895	0.2870181009
896	0.2869452144
897	0.2868684061
898	0.2868043064
899	0.2866313591
900	0.2865889689
901	0.2863299338
902	0.2861738312
903	0.2860520609
904	0.2859641514
905	0.2858169427
906	0.2857601509
907	0.2856912077
908	0.2854433381
909	0.2852592468
910	0.285079056
911	0.2850398374
912	0.284990375
913	0.2849484562
914	0.284855789
915	0.2846489167
916	0.2845133449
917	0.2844391298
918	0.284366822
919	0.2842341648
920	0.2841850452
921	0.2841483984
922	0.2840050472
923	0.2839706078
924	0.2839175235
925	0.2836741758
926	0.2836167411
927	0.2835707075
928	0.2835519984
929	0.2833026286
930	0.2832313066
931	0.2831219448
932	0.2830861124
933	0.2830591095
934	0.2830345497
935	0.2829824512
936	0.2828722322
937	0.2828430433
938	0.2826668386
939	0.2826302346
940	0.2824466148
941	0.2824256125
942	0.2823134862
943	0.2822306344
944	0.2820911836
945	0.2820383136
946	0.2818509863
947	0.2817563689
948	0.2816823681
949	0.2816269264
950	0.2815083064
951	0.2814531005
952	0.2812216898
953	0.2811049558
954	0.2810055165
955	0.2809425311
956	0.2808239969
957	0.2807214716
958	0.2804901037
959	0.2803285792
960	0.2802799525
961	0.2801572821
962	0.2800966327
963	0.2799165061
964	0.2796444411
965	0.2795117196
966	0.2794749656
967	0.2793287213
968	0.2792216955
969	0.2791738403
970	0.2791190201
971	0.2790577063
972	0.2790217453
973	0.2789608816
974	0.2788558274
975	0.278690081
976	0.2786495766
977	0.2783695178
978	0.2783061895
979	0.2782561484
980	0.2781118757
981	0.2778468186
982	0.277800935
983	0.2776953451
984	0.277619094
985	0.2775312059
986	0.2774452038
987	0.2772884583
988	0.2771801466
989	0.2770247942
990	0.2768889652
991	0.2767254904
992	0.2766918225
993	0.2765007233
994	0.2763496785
995	0.2761823247
996	0.276124247
997	0.276069684
998	0.276027508
999	0.2759635368
