iter	Passed	Remaining
436	1375	1771
437	1378	1768
438	1381	1765
439	1384	1761
440	1387	1758
441	1389	1754
442	1392	1751
443	1394	1746
444	1397	1743
445	1400	1739
446	1403	1736
447	1406	1732
448	1409	1729
449	1411	1725
450	1414	1722
451	1417	1718
452	1420	1715
453	1423	1712
454	1426	1708
455	1429	1705
456	1432	1701
457	1434	1697
458	1437	1694
459	1440	1691
460	1443	1687
461	1445	1683
462	1448	1680
463	1451	1676
464	1454	1673
465	1457	1669
466	1460	1666
467	1463	1663
468	1465	1659
469	1467	1655
470	1470	1651
471	1471	1646
472	1473	1642
473	1476	1638
474	1479	1634
475	1482	1631
476	1484	1628
477	1486	1623
478	1489	1620
479	1492	1616
480	1495	1613
481	1498	1610
482	1501	1606
483	1504	1603
484	1506	1600
485	1509	1596
486	1512	1593
487	1514	1589
488	1517	1586
489	1520	1582
490	1523	1579
491	1526	1575
492	1528	1572
493	1531	1569
494	1534	1565
495	1537	1562
496	1540	1558
497	1543	1555
498	1545	1552
499	1548	1548
500	1551	1545
501	1554	1542
502	1557	1538
503	1560	1535
504	1563	1532
505	1566	1529
506	1569	1526
507	1572	1522
508	1574	1519
509	1577	1516
510	1580	1512
511	1582	1508
512	1585	1505
513	1588	1501
514	1591	1498
515	1594	1495
516	1597	1492
517	1600	1489
518	1603	1485
519	1606	1482
520	1609	1479
521	1612	1476
522	1615	1473
523	1618	1469
524	1620	1466
525	1623	1463
526	1626	1459
527	1629	1456
528	1631	1453
529	1634	1449
530	1637	1446
531	1640	1442
532	1642	1439
533	1645	1436
534	1648	1432
535	1651	1429
536	1654	1426
537	1657	1422
538	1659	1419
539	1662	1416
540	1665	1413
541	1668	1410
542	1671	1406
543	1674	1403
544	1677	1400
545	1679	1396
546	1681	1392
547	1684	1389
548	1687	1386
549	1690	1383
550	1693	1379
551	1696	1376
552	1699	1373
553	1702	1370
554	1705	1367
555	1708	1364
556	1711	1360
557	1714	1357
558	1716	1354
559	1719	1351
560	1722	1347
561	1725	1344
562	1727	1341
563	1730	1338
564	1733	1334
565	1736	1331
566	1739	1328
567	1742	1324
568	1744	1321
569	1747	1318
570	1750	1315
571	1753	1311
572	1756	1308
573	1758	1305
574	1761	1301
575	1764	1298
576	1767	1295
577	1770	1292
578	1772	1288
579	1774	1285
580	1777	1282
581	1780	1278
582	1782	1275
583	1785	1271
584	1788	1268
585	1791	1265
586	1794	1262
587	1797	1259
588	1800	1256
589	1802	1252
590	1805	1249
591	1808	1246
592	1811	1243
593	1814	1240
594	1817	1237
595	1820	1234
596	1823	1230
597	1826	1227
598	1829	1224
599	1832	1221
600	1835	1218
601	1837	1215
602	1840	1211
603	1843	1208
604	1845	1205
605	1848	1201
606	1851	1198
607	1854	1195
608	1857	1192
609	1859	1188
610	1862	1185
611	1865	1182
612	1868	1179
613	1871	1176
614	1874	1173
615	1877	1170
616	1880	1167
617	1883	1164
618	1886	1161
619	1889	1157
620	1891	1154
621	1894	1151
622	1897	1148
623	1900	1145
624	1903	1141
625	1906	1138
626	1909	1135
627	1912	1132
628	1915	1129
629	1918	1126
630	1921	1123
631	1924	1120
632	1926	1117
633	1929	1114
634	1932	1110
635	1935	1107
636	1938	1104
637	1941	1101
638	1943	1098
639	1946	1095
640	1949	1091
641	1952	1088
642	1955	1085
643	1958	1082
644	1961	1079
645	1964	1076
646	1967	1073
647	1970	1070
648	1972	1066
649	1974	1063
650	1977	1060
651	1980	1056
652	1983	1053
653	1986	1050
654	1988	1047
655	1989	1043
656	1992	1040
657	1995	1037
658	1998	1034
659	2001	1030
660	2004	1027
661	2007	1024
662	2010	1021
663	2013	1018
664	2016	1015
665	2019	1012
666	2021	1009
667	2023	1005
668	2026	1002
669	2030	999
670	2033	996
671	2036	993
672	2038	990
673	2042	987
674	2045	984
675	2047	981
676	2050	978
677	2053	975
678	2056	972
679	2059	969
680	2062	966
681	2064	962
682	2067	959
683	2070	956
684	2072	953
685	2075	950
686	2078	947
687	2080	943
688	2083	940
689	2086	937
690	2089	934
691	2092	931
692	2095	928
693	2097	925
694	2100	921
695	2103	918
696	2106	915
697	2109	912
698	2112	909
699	2115	906
700	2117	903
701	2120	900
702	2122	896
703	2125	893
704	2128	890
705	2131	887
706	2134	884
707	2137	881
708	2140	878
709	2142	875
710	2145	872
711	2148	869
712	2151	865
713	2154	862
714	2156	859
715	2159	856
716	2162	853
717	2164	850
718	2167	847
719	2170	844
720	2173	840
721	2176	837
722	2179	834
723	2181	831
724	2184	828
725	2187	825
726	2190	822
727	2193	819
728	2196	816
729	2199	813
730	2202	810
